node_id,lon,lat,elevation,node_type,zone_id,lon_r,lat_r
0,75.12424962824637,18.06658128764493,497.0,junction,zone_1,75.1242,18.0666
1,75.7970801530001,17.74535257200005,482.0,junction,zone_1,75.7971,17.7454
2,75.79747180100004,17.745351466000038,482.0,junction,zone_1,75.7975,17.7454
3,75.79800710113712,17.744952831869995,480.0,junction,zone_1,75.798,17.745
4,75.82368928137078,17.667645671553778,455.0,junction,zone_6,75.8237,17.6676
5,75.82374183224942,17.668028054669204,455.0,junction,zone_6,75.8237,17.668
6,75.82393329970574,17.66761554739008,455.0,junction,zone_6,75.8239,17.6676
7,75.82398014782143,17.668029381345736,455.0,junction,zone_6,75.824,17.668
8,75.82417646315744,17.667585528452904,454.0,junction,zone_6,75.8242,17.6676
9,75.8242041244632,17.668007360096055,454.0,junction,zone_6,75.8242,17.668
10,75.8244272588509,17.667558384390414,454.0,junction,zone_6,75.8244,17.6676
11,75.82444506357821,17.667969108006137,454.0,junction,zone_6,75.8244,17.668
12,75.82469056204982,17.667553050266466,454.0,junction,zone_6,75.8247,17.6676
13,75.8247080002271,17.6679972078618,454.0,junction,zone_6,75.8247,17.668
14,75.8249212952596,17.667548375671632,454.0,junction,zone_6,75.8249,17.6675
15,75.82493846666034,17.667979731626282,454.0,junction,zone_6,75.8249,17.668
16,75.8269043562751,17.66751742914768,452.0,junction,zone_6,75.8269,17.6675
17,75.82696390937197,17.667516817261816,452.0,junction,zone_6,75.827,17.6675
18,75.8269728709368,17.667848479712628,452.0,junction,zone_6,75.827,17.6678
19,75.82698017981019,17.66811897532342,452.0,junction,zone_6,75.827,17.6681
20,75.8269579490134,17.668716399665065,451.0,junction,zone_6,75.827,17.6687
21,75.82748667431372,17.66752775621374,452.0,junction,zone_6,75.8275,17.6675
22,75.82749421436,17.667826662169254,452.0,junction,zone_6,75.8275,17.6678
23,75.82749320747928,17.668058389786225,452.0,junction,zone_6,75.8275,17.6681
24,75.82761635701986,17.667837467512356,451.0,junction,zone_6,75.8276,17.6678
25,75.8278419370027,17.668115544755413,451.0,junction,zone_6,75.8278,17.6681
26,75.83927272922524,17.670278144828497,448.0,junction,zone_6,75.8393,17.6703
27,75.84068344176963,17.668293409585292,446.0,junction,zone_6,75.8407,17.6683
28,75.84134180830281,17.725983052491472,491.0,junction,zone_1,75.8413,17.726
29,75.841497,17.66583,444.0,junction,zone_6,75.8415,17.6658
